record_id,timestamp,O,T,L,S,C,M
337,2017-12-22T14:10:51,1,2,1,2,2,1
338,2017-12-22T14:11:22,1,2,1,2,2,1
339,2017-12-22T14:11:52,1,2,1,2,2,1
340,2017-12-22T14:12:23,1,2,1,2,2,1
341,2017-12-22T14:12:54,1,2,1,2,2,1
342,2017-12-22T14:13:55,1,2,1,2,2,1
343,2017-12-22T14:14:26,1,2,1,2,2,1
344,2017-12-22T14:14:56,1,2,1,2,2,1
345,2017-12-22T14:15:27,1,2,1,2,2,1
346,2017-12-22T14:15:58,0,2,1,2,2,1
347,2017-12-22T14:16:28,0,2,1,2,2,1
348,2017-12-22T14:16:59,0,2,1,2,2,1
349,2017-12-22T14:17:29,0,2,1,2,2,0
350,2017-12-22T14:18:00,0,2,1,0,2,0
351,2017-12-22T14:18:31,0,2,1,1,2,0
352,2017-12-22T14:19:01,0,2,1,1,2,0
353,2017-12-22T14:19:32,0,2,1,1,2,0
354,2017-12-22T14:20:03,0,2,1,0,2,0
355,2017-12-22T14:20:33,0,2,1,0,2,0
356,2017-12-22T14:21:04,0,2,1,1,2,0
357,2017-12-22T14:21:35,0,2,1,0,2,0
358,2017-12-22T14:22:05,0,2,1,0,2,0
359,2017-12-22T14:22:36,0,2,1,1,2,0
360,2017-12-22T14:23:06,0,2,1,2,2,0
361,2017-12-22T14:23:37,0,2,1,2,2,0
362,2017-12-22T14:24:08,0,2,1,1,2,0
363,2017-12-22T14:24:38,0,2,1,1,2,0
364,2017-12-22T14:25:09,0,2,1,0,2,0
365,2017-12-22T14:25:40,0,2,1,1,2,0
366,2017-12-22T14:26:10,0,2,1,2,2,0
367,2017-12-22T14:26:41,0,2,1,1,2,0
368,2017-12-22T14:27:12,0,2,1,2,2,0
369,2017-12-22T14:27:42,0,2,1,1,2,0
370,2017-12-22T14:28:13,0,2,1,2,2,0
371,2017-12-22T14:28:43,0,2,1,2,2,0
372,2017-12-22T14:29:14,0,2,1,2,2,1
373,2017-12-22T14:29:45,0,2,1,2,2,0
374,2017-12-22T14:30:15,0,2,1,0,2,0
375,2017-12-22T14:30:46,0,2,1,0,2,0
376,2017-12-22T14:31:17,0,2,1,1,2,0
377,2017-12-22T14:31:47,0,2,1,0,2,0
378,2017-12-22T14:32:18,0,2,1,1,2,0
379,2017-12-22T14:32:48,0,2,1,0,2,0
380,2017-12-22T14:33:19,0,2,1,2,2,0
381,2017-12-22T14:33:50,0,2,1,2,2,0
382,2017-12-22T14:34:20,0,2,1,2,2,0
383,2017-12-22T14:34:51,0,2,1,2,2,0
384,2017-12-22T14:35:22,0,2,1,0,2,0
385,2017-12-22T14:35:52,0,2,1,0,2,0
386,2017-12-22T14:36:23,0,2,1,2,2,0
387,2017-12-22T14:36:54,0,2,1,1,2,0
388,2017-12-22T14:37:24,0,2,1,1,2,0
389,2017-12-22T14:37:55,0,2,1,1,2,0
390,2017-12-22T14:38:25,0,2,1,0,2,0
391,2017-12-22T14:38:56,0,2,1,1,2,0
392,2017-12-22T14:39:27,0,2,1,0,2,0
393,2017-12-22T14:39:57,0,2,1,1,2,0
394,2017-12-22T14:40:28,0,2,1,1,2,0
395,2017-12-22T14:40:59,0,2,1,1,2,0
396,2017-12-22T14:41:29,0,2,1,0,2,0
397,2017-12-22T14:42:00,0,2,1,0,2,0
398,2017-12-22T14:42:31,0,2,1,0,2,0
399,2017-12-22T14:43:01,0,2,1,1,2,0
400,2017-12-22T14:43:32,0,2,1,1,2,0
401,2017-12-22T14:44:02,0,2,1,0,2,0
402,2017-12-22T14:44:33,0,2,1,1,2,0
403,2017-12-22T14:45:04,0,2,1,1,2,0
404,2017-12-22T14:45:34,0,2,1,1,2,0
405,2017-12-22T14:46:05,0,2,1,0,2,0
406,2017-12-22T14:46:36,0,2,1,0,2,0
407,2017-12-22T14:47:06,0,2,1,2,2,0
408,2017-12-22T14:47:37,0,2,1,2,2,0
409,2017-12-22T14:48:08,0,2,1,1,2,0
410,2017-12-22T14:48:38,0,2,1,1,2,0
411,2017-12-22T14:49:09,0,2,1,1,2,0
412,2017-12-22T14:49:39,0,2,1,0,2,0
413,2017-12-22T14:50:10,0,2,1,1,2,0
414,2017-12-22T14:50:41,0,2,1,1,2,0
415,2017-12-22T14:51:11,0,2,1,0,2,0
416,2017-12-22T14:51:42,0,2,1,1,2,0
417,2017-12-22T14:52:13,0,2,1,0,2,0
418,2017-12-22T14:52:43,0,2,1,0,2,0
419,2017-12-22T14:53:14,0,2,1,0,2,0
420,2017-12-22T14:53:45,0,2,1,0,2,0
421,2017-12-22T14:54:15,0,2,1,1,2,0
422,2017-12-22T14:54:46,0,2,1,1,2,0
423,2017-12-22T14:55:16,0,2,1,0,2,0
424,2017-12-22T14:55:47,0,2,1,0,2,0
425,2017-12-22T14:56:18,0,2,1,0,2,0
426,2017-12-22T14:56:48,0,2,1,1,2,0
427,2017-12-22T14:57:19,0,2,1,1,2,0
428,2017-12-22T14:57:50,0,2,1,1,2,0
429,2017-12-22T14:58:20,0,2,1,1,2,0
430,2017-12-22T14:58:51,0,2,1,1,2,0
431,2017-12-22T14:59:22,0,2,1,1,2,0
432,2017-12-22T14:59:52,0,2,1,2,2,0
433,2017-12-22T15:00:23,0,2,1,1,2,0
434,2017-12-22T15:00:53,0,2,1,0,2,0
435,2017-12-22T15:01:24,0,2,1,0,2,0
436,2017-12-22T15:01:55,0,2,1,1,2,0
437,2017-12-22T15:02:25,0,2,1,1,2,0
438,2017-12-22T15:02:56,0,2,1,0,2,0
439,2017-12-22T15:03:27,0,2,1,0,2,0
440,2017-12-22T15:03:57,0,2,1,0,2,0
441,2017-12-22T15:04:28,0,2,1,1,2,0
442,2017-12-22T15:04:58,0,2,1,0,2,0
443,2017-12-22T15:05:29,0,2,1,0,2,0
444,2017-12-22T15:06:00,0,2,1,1,2,0
445,2017-12-22T15:06:30,0,2,1,1,2,0
446,2017-12-22T15:07:01,0,2,1,1,2,0
447,2017-12-22T15:07:32,0,2,1,1,2,0
448,2017-12-22T15:08:02,0,2,1,0,2,0
449,2017-12-22T15:08:33,0,2,1,1,2,0
450,2017-12-22T15:09:04,0,2,1,2,2,0
451,2017-12-22T15:10:05,0,2,1,1,2,0
452,2017-12-22T15:10:35,0,2,1,1,2,0
453,2017-12-22T15:11:06,0,2,1,2,2,0
454,2017-12-22T15:11:37,0,2,1,1,2,0
455,2017-12-22T15:12:07,0,2,1,2,2,0
456,2017-12-22T15:12:38,0,2,1,1,2,0
457,2017-12-22T15:13:09,0,2,1,0,2,0
458,2017-12-22T15:13:39,0,2,1,1,2,0
459,2017-12-22T15:14:10,0,2,1,2,2,0
460,2017-12-22T15:14:41,0,2,1,0,2,0
461,2017-12-22T15:15:11,0,2,1,0,2,0
462,2017-12-22T15:15:42,0,2,1,1,2,0
463,2017-12-22T15:16:12,0,2,1,2,2,0
464,2017-12-22T15:16:43,0,2,1,0,2,0
465,2017-12-22T15:17:14,0,2,1,1,2,0
466,2017-12-22T15:17:44,0,2,1,0,2,0
467,2017-12-22T15:18:15,0,2,1,1,2,0
468,2017-12-22T15:18:46,0,2,1,1,2,0
469,2017-12-22T15:19:16,0,2,1,0,2,0
470,2017-12-22T15:19:47,0,2,1,1,2,0
471,2017-12-22T15:20:18,0,2,1,0,2,0
472,2017-12-22T15:20:48,0,2,1,0,2,0
473,2017-12-22T15:21:19,0,2,1,1,2,0
474,2017-12-22T15:21:49,0,2,1,1,2,0
475,2017-12-22T15:22:20,0,2,1,0,2,0
476,2017-12-22T15:22:51,0,2,1,1,2,0
477,2017-12-22T15:23:21,0,2,1,1,2,0
478,2017-12-22T15:23:52,0,2,1,1,2,0
479,2017-12-22T15:25:24,1,2,1,2,2,1
480,2017-12-22T15:25:55,1,2,1,2,2,0
481,2017-12-22T15:26:25,1,2,1,0,2,0
482,2017-12-22T15:26:56,1,2,1,2,2,1
483,2017-12-22T15:27:26,1,2,1,2,2,0
484,2017-12-22T15:27:57,1,2,1,2,2,0
485,2017-12-22T15:28:28,1,2,1,2,2,1
486,2017-12-22T15:28:58,1,2,1,1,2,1
487,2017-12-22T15:29:29,1,2,1,2,2,0
488,2017-12-22T15:30:00,1,2,1,2,2,0
489,2017-12-22T15:30:30,1,2,1,2,2,0
490,2017-12-22T15:31:01,1,2,1,1,2,0
491,2017-12-22T15:31:32,1,2,1,1,2,0
492,2017-12-22T15:32:02,1,2,1,1,2,0
493,2017-12-22T15:32:33,1,2,1,2,2,0
494,2017-12-22T15:33:03,1,2,1,2,2,0
495,2017-12-22T15:33:34,1,2,1,0,2,0
496,2017-12-22T15:34:05,1,2,1,2,2,0
497,2017-12-22T15:34:35,1,2,1,2,2,0
498,2017-12-22T15:35:06,1,2,1,2,2,0
499,2017-12-22T15:35:37,1,2,1,2,2,1
500,2017-12-22T15:36:07,1,2,1,2,2,1
501,2017-12-22T15:36:38,1,2,1,2,2,0
502,2017-12-22T15:37:09,1,2,1,2,2,0
503,2017-12-22T15:37:39,1,2,1,2,2,0
504,2017-12-22T15:38:10,1,2,1,2,2,0
505,2017-12-22T15:38:40,1,2,1,2,2,0
506,2017-12-22T15:39:11,1,2,1,2,2,0
507,2017-12-22T15:39:42,1,2,1,2,2,0
508,2017-12-22T15:40:12,1,2,1,1,2,1
509,2017-12-22T15:40:43,1,2,1,2,2,1
510,2017-12-22T15:41:14,1,2,1,2,2,0
511,2017-12-22T15:41:44,1,2,1,2,2,0
512,2017-12-22T15:42:15,1,2,1,2,2,0
513,2017-12-22T15:42:45,1,2,1,2,2,0
514,2017-12-22T15:43:16,1,2,1,2,2,0
515,2017-12-22T15:43:47,1,2,1,2,2,0
